,age_head,income_bin,age_group,n,smoothed,add_head
171,71,"[50, 70)",nu18,0.0185897556185222,False,False
172,72,"[50, 70)",nu18,0.02347570697323152,False,False
173,73,"[50, 70)",nu18,0.02869643078132621,False,False
174,74,"[50, 70)",nu18,0.021747043834619135,False,False
175,75,"[50, 70)",nu18,0.004059672691444434,False,False
176,76,"[50, 70)",nu18,0.014416854520052456,False,False
177,77,"[50, 70)",nu18,0.007712383673717534,False,False
178,78,"[50, 70)",nu18,0.007807065714808713,False,False
179,79,"[50, 70)",nu18,0.011845402061239433,False,False
180,20,"[70, 90)",nu18,0.08335214074180089,False,False
181,21,"[70, 90)",nu18,0.1493678767698097,False,False
182,22,"[70, 90)",nu18,0.17946952855896958,False,False
183,23,"[70, 90)",nu18,0.19761384973125853,False,False
184,24,"[70, 90)",nu18,0.21247286461466766,False,False
185,25,"[70, 90)",nu18,0.2453240395900272,False,False
186,26,"[70, 90)",nu18,0.3488896489876634,False,False
187,27,"[70, 90)",nu18,0.4083179682388628,False,False
188,28,"[70, 90)",nu18,0.501270049748778,False,False
189,29,"[70, 90)",nu18,0.6290550364780763,False,False
190,30,"[70, 90)",nu18,0.7795232644052855,False,False
191,31,"[70, 90)",nu18,0.9341281517071304,False,False
192,32,"[70, 90)",nu18,1.1055053081754416,False,False
193,33,"[70, 90)",nu18,1.135978057288325,False,False
194,34,"[70, 90)",nu18,1.2680429819380659,False,False
195,35,"[70, 90)",nu18,1.3256106628044526,False,False
196,36,"[70, 90)",nu18,1.468948405742909,False,False
197,37,"[70, 90)",nu18,1.4078904042453806,False,False
198,38,"[70, 90)",nu18,1.414500133241566,False,False
199,39,"[70, 90)",nu18,1.5297937970502762,False,False
200,40,"[70, 90)",nu18,1.4658751912952843,False,False
201,41,"[70, 90)",nu18,1.397055459265377,False,False
202,42,"[70, 90)",nu18,1.3168816766000888,False,False
203,43,"[70, 90)",nu18,1.338995722058396,False,False
204,44,"[70, 90)",nu18,1.2218184001004098,False,False
205,45,"[70, 90)",nu18,1.0747096783570484,False,False
206,46,"[70, 90)",nu18,1.0761264810437496,False,False
207,47,"[70, 90)",nu18,0.9586686470175201,False,False
208,48,"[70, 90)",nu18,0.8194218813813132,False,False
209,49,"[70, 90)",nu18,0.75448722473179,False,False
210,50,"[70, 90)",nu18,0.6170338154390147,False,False
211,51,"[70, 90)",nu18,0.5340677177600369,False,False
212,52,"[70, 90)",nu18,0.45088444855150406,False,False
213,53,"[70, 90)",nu18,0.37438626920451096,False,False
214,54,"[70, 90)",nu18,0.31357480216986694,False,False
215,55,"[70, 90)",nu18,0.2076930648105139,False,False
216,56,"[70, 90)",nu18,0.18798221250789893,False,False
217,57,"[70, 90)",nu18,0.18618431752451933,False,False
218,58,"[70, 90)",nu18,0.1116764122751566,False,False
219,59,"[70, 90)",nu18,0.1251191347772437,False,False
220,60,"[70, 90)",nu18,0.11514584410119645,False,False
221,61,"[70, 90)",nu18,0.08273371345479834,False,False
222,62,"[70, 90)",nu18,0.042693984604539915,False,False
223,63,"[70, 90)",nu18,0.07809193491325891,False,False
224,64,"[70, 90)",nu18,0.05897380046566611,False,False
225,65,"[70, 90)",nu18,0.04255373186450363,False,False
226,66,"[70, 90)",nu18,0.04947004054146911,False,False
227,67,"[70, 90)",nu18,0.05402863314317044,False,False
228,68,"[70, 90)",nu18,0.0660999845794658,False,False
229,69,"[70, 90)",nu18,0.05143484679364851,False,False
230,70,"[70, 90)",nu18,0.04130639906473838,False,False
231,71,"[70, 90)",nu18,0.03113514730859579,False,False
232,72,"[70, 90)",nu18,0.039718357082984074,False,False
233,73,"[70, 90)",nu18,0.03176960695526173,False,False
234,74,"[70, 90)",nu18,0.01702398923730338,False,False
235,75,"[70, 90)",nu18,0.018951215505913274,False,False
236,76,"[70, 90)",nu18,0.03149958112259146,False,False
237,77,"[70, 90)",nu18,0.029458948329456773,False,False
238,78,"[70, 90)",nu18,0.005289644122492271,False,False
239,79,"[70, 90)",nu18,0.005576513039199606,False,False
240,20,"[90, 99)",nu18,0.15071150964314867,False,False
241,21,"[90, 99)",nu18,0.18847020662636646,False,False
242,22,"[90, 99)",nu18,0.24767484100121664,False,False
243,23,"[90, 99)",nu18,0.2225427425596285,False,False
244,24,"[90, 99)",nu18,0.2985723516289459,False,False
245,25,"[90, 99)",nu18,0.2716893305758402,False,False
246,26,"[90, 99)",nu18,0.36155077869347246,False,False
247,27,"[90, 99)",nu18,0.4235111594811759,False,False
248,28,"[90, 99)",nu18,0.5440897141205456,False,False
249,29,"[90, 99)",nu18,0.7311271864300164,False,False
250,30,"[90, 99)",nu18,0.7124044299527772,False,False
251,31,"[90, 99)",nu18,0.9139347823622975,False,False
252,32,"[90, 99)",nu18,0.9087754506312486,False,False
253,33,"[90, 99)",nu18,1.2108460586684702,False,False
254,34,"[90, 99)",nu18,1.2429233948950769,False,False
255,35,"[90, 99)",nu18,1.3770344463765851,False,False
256,36,"[90, 99)",nu18,1.5258337429820703,False,False
257,37,"[90, 99)",nu18,1.4139539039530955,False,False
258,38,"[90, 99)",nu18,1.5351766918252907,False,False
259,39,"[90, 99)",nu18,1.7345116746613995,False,False
260,40,"[90, 99)",nu18,1.6122320675105486,False,False
261,41,"[90, 99)",nu18,1.5924913235560072,False,False
262,42,"[90, 99)",nu18,1.591435496902774,False,False
263,43,"[90, 99)",nu18,1.646613512446304,False,False
264,44,"[90, 99)",nu18,1.4524915872408164,False,False
265,45,"[90, 99)",nu18,1.4210798933298803,False,False
266,46,"[90, 99)",nu18,1.3009592276881996,False,False
267,47,"[90, 99)",nu18,1.4423451295941991,False,False
268,48,"[90, 99)",nu18,1.2414368582934587,False,False
269,49,"[90, 99)",nu18,1.1030722437046119,False,False
270,50,"[90, 99)",nu18,0.8597630819113002,False,False
271,51,"[90, 99)",nu18,0.5836139466054603,False,False
272,52,"[90, 99)",nu18,0.6292170544374892,False,False
273,53,"[90, 99)",nu18,0.5368707787604015,False,False
274,54,"[90, 99)",nu18,0.39430139299282396,False,False
275,55,"[90, 99)",nu18,0.3501346451030494,False,False
276,56,"[90, 99)",nu18,0.23897360528789485,False,False
277,57,"[90, 99)",nu18,0.1850726490029875,False,False
278,58,"[90, 99)",nu18,0.1441509674641835,False,False
279,59,"[90, 99)",nu18,0.1308425974025974,False,False
280,60,"[90, 99)",nu18,0.1322870339426035,False,False
281,61,"[90, 99)",nu18,0.11707450035610344,False,False
282,62,"[90, 99)",nu18,0.08573434504360976,False,False
283,63,"[90, 99)",nu18,0.11006465039647746,False,False
284,64,"[90, 99)",nu18,0.0695903410692474,False,False
285,65,"[90, 99)",nu18,0.07238229755178907,False,False
286,66,"[90, 99)",nu18,0.09391708195765704,False,False
287,67,"[90, 99)",nu18,0.07318641339006618,False,False
288,68,"[90, 99)",nu18,0.08024754164098083,False,False
289,69,"[90, 99)",nu18,0.08939104759498048,False,False
290,70,"[90, 99)",nu18,0.11176384974662273,False,False
291,71,"[90, 99)",nu18,0.12704155252096447,False,False
292,72,"[90, 99)",nu18,0.10780265972565034,False,False
293,73,"[90, 99)",nu18,0.0798748326531929,False,False
294,74,"[90, 99)",nu18,0.09118458743799343,False,False
295,75,"[90, 99)",nu18,0.09509438808270194,False,False
296,76,"[90, 99)",nu18,0.08389810482536982,False,False
297,77,"[90, 99)",nu18,0.094472710453284,False,False
298,78,"[90, 99)",nu18,0.06770738053133321,False,False
299,79,"[90, 99)",nu18,0.0789450403627115,False,False
300,20,"[99, 100)",nu18,0.16961680076367108,False,False
301,21,"[99, 100)",nu18,0.170744097751397,False,False
302,22,"[99, 100)",nu18,0.2715918015758405,False,False
303,23,"[99, 100)",nu18,0.3220732935616332,False,False
304,24,"[99, 100)",nu18,0.2712122805172958,False,False
305,25,"[99, 100)",nu18,0.06251201098146877,False,False
306,26,"[99, 100)",nu18,0.30020587156998224,False,False
307,27,"[99, 100)",nu18,0.3379956074442261,False,False
308,28,"[99, 100)",nu18,0.42774977581248647,False,False
309,29,"[99, 100)",nu18,0.5003607616776986,False,False
310,30,"[99, 100)",nu18,0.6667287803969068,False,False
311,31,"[99, 100)",nu18,0.5295921806538592,False,False
312,32,"[99, 100)",nu18,1.0605917976717185,False,False
313,33,"[99, 100)",nu18,1.1606881280872083,False,False
314,34,"[99, 100)",nu18,1.3068799449604402,False,False
315,35,"[99, 100)",nu18,1.7496239573362504,False,False
316,36,"[99, 100)",nu18,1.6622135951891603,False,False
317,37,"[99, 100)",nu18,1.6623366871902687,False,False
318,38,"[99, 100)",nu18,2.0450567014232437,False,False
319,39,"[99, 100)",nu18,1.5835960917124061,False,False
320,40,"[99, 100)",nu18,1.8302324724606713,False,False
321,41,"[99, 100)",nu18,1.8247371056584878,False,False
322,42,"[99, 100)",nu18,1.530279132890731,False,False
323,43,"[99, 100)",nu18,1.7237527387665672,False,False
324,44,"[99, 100)",nu18,1.7421571122178197,False,False
325,45,"[99, 100)",nu18,1.76327162716992,False,False
326,46,"[99, 100)",nu18,1.608955333260049,False,False
327,47,"[99, 100)",nu18,1.6774739008969268,False,False
328,48,"[99, 100)",nu18,1.3126944837340877,False,False
329,49,"[99, 100)",nu18,1.0259203997362851,False,False
330,50,"[99, 100)",nu18,0.8855945963499383,False,False
331,51,"[99, 100)",nu18,0.8512732788948778,False,False
332,52,"[99, 100)",nu18,0.8049605411499436,False,False
333,53,"[99, 100)",nu18,0.8345371194881436,False,False
334,54,"[99, 100)",nu18,0.42300188259455757,False,False
335,55,"[99, 100)",nu18,0.4700218519530183,False,False
336,56,"[99, 100)",nu18,0.42763114374545214,False,False
337,57,"[99, 100)",nu18,0.20123817228885996,False,False
