,li_group,head_age,nu18,n1864,n65,nu18smooth,n1864smooth,n65smooth
217,"(0.7, 0.8]",54.0,0.5260869565217391,1.1565217391304348,0.0,0.4964221021409517,2.1139441126375136,0.0
218,"(0.7, 0.8]",55.0,0.4,1.2232558139534886,0.0,0.4402750901942473,2.0977355742776966,0.0
219,"(0.7, 0.8]",56.0,0.334841628959276,1.126696832579185,0.00904977375565611,0.3885999910274033,2.078199395904554,0.0
220,"(0.7, 0.8]",57.0,0.2981651376146789,1.096330275229358,0.01834862385321101,0.34158473251242316,2.0560545262931997,0.0
221,"(0.7, 0.8]",58.0,0.2590673575129533,1.0725388601036268,0.010362694300518135,0.29904271735416355,2.031830508556378,0.0
222,"(0.7, 0.8]",59.0,0.1851851851851852,1.074074074074074,0.042328042328042326,0.2608133743908336,2.0055379519396546,0.0
223,"(0.7, 0.8]",60.0,0.18562874251497005,0.9940119760479045,0.041916167664670656,0.22681578256858329,1.9770553542162586,0.0
224,"(0.7, 0.8]",61.0,0.14388489208633093,0.9568345323741008,0.07913669064748201,0.19693293062110737,1.9461101676808419,0.0
225,"(0.7, 0.8]",62.0,0.12686567164179105,0.9029850746268655,0.08208955223880597,0.17088630017855902,1.9119055111072445,0.0
226,"(0.7, 0.8]",63.0,0.10476190476190476,0.9333333333333331,0.10476190476190476,0.14819311411579073,1.8737715599797293,0.0
227,"(0.7, 0.8]",64.0,0.047619047619047616,0.8571428571428568,0.13095238095238096,0.12857255151650337,1.8321736444480219,0.0
228,"(0.7, 0.8]",65.0,0.09090909090909093,0.7662337662337663,0.22077922077922074,0.11217503644601165,0.7882687772897922,1.0
229,"(0.7, 0.8]",66.0,0.1320754716981132,0.6792452830188679,0.26415094339622636,0.0991111226693643,0.743107707269063,1.2641509433962264
230,"(0.7, 0.8]",67.0,0.061224489795918366,0.7551020408163265,0.3877551020408163,0.08889707146470394,0.6970587679818941,1.3877551020408163
231,"(0.7, 0.8]",68.0,0.0,0.7777777777777778,0.36111111111111116,0.08080527460781703,0.6504001302572612,1.3611111111111112
232,"(0.7, 0.8]",69.0,0.05263157894736842,0.631578947368421,0.5263157894736843,0.0740851508673844,0.6032965532378483,1.5263157894736843
